"","price","address","squares","type","year","age","bed","bath","tax"
"35","$1,200,000","301 1205 Howe Street, Vancouver West, BC","982 sq.ft.","Residential, Condo","2010","10","2","2","$2,677"
"36","$1,498,000","467 Montroyal Boulevard, North Vancouver, BC","2,300 sq.ft.","Residential, House","1959","61","4","3+1","$6,554"
"37","$1,399,999","1005 E King Edward Avenue, Vancouver East, BC","2,040 sq.ft.","Residential, House","9999","999","6","2","$5,369"
"38","$534,900","4407 53 St Nw, Calgary, AB","120.77 sq.m.","Residential, House","1972",NA,"4","3","$3,723"
"39","$649,000","PART 1 HONDOO ISLAND, South River, ON","1,852 sq.ft.","Other, Island","2008",NA,"4","2","$584"
"40","$556,189","9848 224 Street NW, Edmonton, AB","2,184 sq.ft.","Residential, House",NA,NA,"3","2+1","$3,233"
"41","$860,000","604 2446 Shaughnessy Street, Port Coquitlam, BC","1,119 sq.ft.","Residential, Condo","2021",NA,"2","2",NA
"42","$739,000","2005 680 Seylynn Crescent, North Vancouver, BC","774 sq.ft.","Residential, Condo","2018","2","2","2","$3,439"
"43","$679,900","75 19451 Sutton Avenue, Pitt Meadows, BC","1,384 sq.ft.","Residential, Townhouse","2020",NA,"3","3+1",NA
"44","$4,580,000","64 Blyth Hill Rd, Toronto, ON",NA,"Residential, House",NA,NA,"4+2","6","$21,220"
"45","$650,000","599 Ch. de l'Artisan, Sainte-Lucie-des-Laurentides, QC","2,376 sq.ft.","Residential, House","2019",NA,"2","2+1","$3,700"
"46","$1,375,000","6864 Burford Street, Burnaby, BC","1,880 sq.ft.","Residential, Condo","2006","14","4","4","$4,664"
"47","$3,099,000","1704 112 13 Street, North Vancouver, BC","1,825 sq.ft.","Residential, Condo","2017","3","2","2","$6,953"
"48","$599,800","1202 4465 Juneau Street, Burnaby, BC","515 sq.ft.","Residential, Condo","2020",NA,"1","1","$836"
"49","$579,000","1705 1740 Comox Street, Vancouver West, BC","571 sq.ft.","Residential, Condo","1976","44","1","1","$1,498"
"50","$547,900","68 Corporate Dr, Toronto, ON",NA,"Residential, Condo",NA,NA,"2+1","2","$1,829"
